5/4/2020 11:21:20 AM - *****************FollowUpService - FollowUpProc Starts**************
5/4/2020 11:21:20 AM - Please wait ..fetching policy list from database
5/4/2020 11:21:20 AM - Policy list found from database, count: 1
5/4/2020 11:21:20 AM - Policy ID starting: 5f27fa6b-3547-4ccb-bbb9-02893bb8d4f4
5/4/2020 11:21:20 AM - Follow up running  for Policy number: LD6300
5/4/2020 11:23:26 AM - Details fetching for policyID: c47a4f4b-aa53-493e-bf32-6ead8614750d
5/4/2020 11:23:30 AM - PolicyID: c47a4f4b-aa53-493e-bf32-6ead8614750d, _MasterPolicyMode : Monthly
5/4/2020 11:23:31 AM - PolicyID: c47a4f4b-aa53-493e-bf32-6ead8614750d, Last follow up runs updated
5/4/2020 11:23:51 AM - PolicyID: c47a4f4b-aa53-493e-bf32-6ead8614750d, FollowupDate range found as: {FromDate=7/1/2019 12:00:00 AM}{Paymentmode=Monthly}{ToDate=2/29/2020 12:00:00 AM}
5/4/2020 11:23:52 AM - PolicyID: c47a4f4b-aa53-493e-bf32-6ead8614750d, IsTrackPayment true 
5/4/2020 11:23:52 AM - PolicyID: c47a4f4b-aa53-493e-bf32-6ead8614750d, DateRangeForMissingLst calculated successfully
5/4/2020 11:23:52 AM - PolicyID: c47a4f4b-aa53-493e-bf32-6ead8614750d, FollowupIssueLst count: 0
5/4/2020 11:23:52 AM - PolicyID: c47a4f4b-aa53-493e-bf32-6ead8614750d, FollowupIssueLst count 2: 0
5/4/2020 11:23:52 AM - PolicyID: c47a4f4b-aa53-493e-bf32-6ead8614750d, Processing starts for  _DateRangeForMissingLst
5/4/2020 11:24:01 AM - PolicyID: c47a4f4b-aa53-493e-bf32-6ead8614750d, _PolicyPaymentEntriesFormissing.Count: 1
5/4/2020 11:24:01 AM - PolicyID: c47a4f4b-aa53-493e-bf32-6ead8614750d, Rflag: False
5/4/2020 11:24:02 AM - PolicyID: c47a4f4b-aa53-493e-bf32-6ead8614750d, FollowupIssueLst calculating 
5/4/2020 11:24:04 AM - PolicyID: c47a4f4b-aa53-493e-bf32-6ead8614750d, FollowupIssueLst calculated 0
5/4/2020 11:24:07 AM - PolicyID: c47a4f4b-aa53-493e-bf32-6ead8614750d, issfolllst calculated 
5/4/2020 11:24:07 AM - PolicyID: c47a4f4b-aa53-493e-bf32-6ead8614750d, PolicyPaymentEntries > 0 
